favourites_count,followers_count,statuses_count,friends_count,default_profile,default_profile_image,profile_use_background_image,utc_offset,listed_count,geo_enabled,lang,isFake
0,9,3,488,,,1.0,25200.0,0,,id,1.0
1888,167,2685,156,,,1.0,-21600.0,1,1.0,en,0.0
2,2280,19472,801,,,1.0,28800.0,108,1.0,en,0.0
0,17,33,513,,,1.0,-21600.0,0,,es,1.0
1474,107,4218,152,1.0,,1.0,,1,,en,0.0
978,191,4160,257,,,1.0,-18000.0,6,,en,0.0
0,8,17,227,1.0,,1.0,,0,,en,1.0
0,6,28,943,1.0,,1.0,,0,,en,1.0
197,325,15368,1530,,,1.0,43200.0,8,1.0,en,0.0
0,15,59,563,1.0,,1.0,,0,,en,1.0
5780,679,4226,677,,,1.0,-25200.0,0,1.0,en,0.0
0,12,14,206,1.0,,1.0,,0,,en,1.0
0,5,0,962,1.0,,1.0,,0,,en,1.0
401,508,549,892,,,1.0,-14400.0,15,1.0,en,0.0
0,12,22,254,1.0,,1.0,,0,,en,1.0
1816,4685,10788,4647,,,1.0,-36000.0,118,,en,0.0
3372,1120,76086,340,,,1.0,-25200.0,42,,en,0.0
994,5883,76589,1146,,,1.0,-14400.0,41,1.0,en,0.0
0,1,1,19,1.0,,1.0,,0,,en,1.0
12269,300,24704,2000,,,1.0,-14400.0,9,,en,0.0
239,4956,3451,2652,,,1.0,16200.0,244,,en,0.0
14142,443,9293,471,1.0,,1.0,,0,,en,0.0
0,7,0,637,1.0,,1.0,,0,,en,1.0
20012,6154,36359,2329,,,1.0,-25200.0,64,1.0,en,0.0
170,604,2647,296,,,1.0,-14400.0,0,1.0,en,0.0
0,5,3,627,1.0,,1.0,-18000.0,0,,tr,1.0
40,386,3803,925,,,1.0,-18000.0,13,1.0,en,0.0
7,35,67,155,1.0,,1.0,,0,,en,0.0
5327,833,9848,1024,,,1.0,-18000.0,0,1.0,en,0.0
920,2077,7102,197,1.0,,1.0,-36000.0,13,1.0,zh-tw,0.0
0,24,84,638,1.0,,1.0,,0,,en,1.0
0,7,22,263,1.0,,1.0,,0,,en,1.0
7499,768,6691,245,,,,43200.0,6,,en,0.0
2,5,21,197,1.0,,1.0,,0,,en,1.0
0,6,11,459,1.0,,1.0,28800.0,0,,en,1.0
498,193,15398,78,,,1.0,3600.0,2,,xx-lc,0.0
58,271,9665,223,,,1.0,,1,1.0,en,0.0
14184,415,1597,392,1.0,,1.0,,1,1.0,en,0.0
4526,40,7040,309,,,1.0,28800.0,1,,zh-tw,0.0
0,19,68,641,1.0,,1.0,,0,,en,1.0
2083,157,4353,168,,,,,0,,en,0.0
0,11,27,258,1.0,,1.0,,0,,en,1.0
11,105,2254,183,,,1.0,-18000.0,0,1.0,en,0.0
0,25,30,262,1.0,,1.0,,0,,en,1.0
1,13,96,466,1.0,,1.0,,0,,en,1.0
0,12,26,239,1.0,,1.0,,0,,en,1.0
0,13,21,217,1.0,,1.0,,0,,en,1.0
1465,1342,41096,1199,,,1.0,28800.0,2,,en,0.0
0,14,15,184,1.0,,1.0,,0,,en,1.0
862,11617,12033,815,,,1.0,-10800.0,89,1.0,en,0.0
530,14,573,227,,,1.0,,0,,en,1.0
0,23,58,585,1.0,,1.0,,0,,en,1.0
0,18,20,317,1.0,,1.0,,0,,en,1.0
0,30,66,748,1.0,,1.0,,0,,en,1.0
5,7,20,462,1.0,,1.0,-18000.0,0,1.0,es,1.0
0,1,4,23,1.0,,1.0,,0,,en,1.0
0,11,1,589,1.0,,1.0,,0,,en,1.0
0,28,39,407,1.0,,1.0,,0,,en,1.0
9200,879,13301,409,1.0,,1.0,-18000.0,1,1.0,en,0.0
12554,2696,26594,154,1.0,,1.0,-25200.0,36,1.0,en,0.0
1,1,21,310,1.0,,1.0,,0,,en,1.0
2562,428,10276,191,,,1.0,28800.0,1,,en,0.0
0,3,2,368,,,1.0,,0,,es,1.0
859,1122,13730,141,,,1.0,28800.0,1,1.0,en,0.0
0,13,40,385,1.0,,1.0,,0,,en,1.0
39,4367,18090,128,,,1.0,-18000.0,57,,en,0.0
1476,935,2162,1798,1.0,,1.0,,14,,en,0.0
7304,1175,14374,851,1.0,,1.0,,4,1.0,en,0.0
0,10,41,361,1.0,,1.0,,0,,en,1.0
8668,1209,19735,713,,,1.0,7200.0,0,1.0,en,0.0
56035,662,24063,208,,,1.0,,19,,en,0.0
6,18,199,136,1.0,,1.0,,0,,en,0.0
0,18,40,365,1.0,,1.0,,0,,en,1.0
13256,1293,52736,1226,,,1.0,,6,1.0,en,0.0
0,16,34,349,1.0,,1.0,,0,,en,1.0
378,252,2045,438,1.0,,1.0,,4,1.0,en,0.0
0,27,43,400,1.0,,1.0,,0,,en,1.0
0,10,22,222,1.0,,1.0,,0,,en,1.0
291,27856,54344,756,,,1.0,-14400.0,605,1.0,en,0.0
0,17,18,193,1.0,,1.0,,0,,en,1.0
0,7,19,191,1.0,,1.0,,0,,en,1.0
4446,615,45041,445,,,1.0,-18000.0,0,1.0,en,0.0
276,102,715,52,1.0,,1.0,,0,1.0,en,0.0
331,1325,7983,2000,,,1.0,-25200.0,75,1.0,en,0.0
0,10,22,228,1.0,,1.0,,0,,en,1.0
0,6,0,506,1.0,,1.0,10800.0,0,,en,1.0
0,23,39,359,1.0,,1.0,,0,,en,1.0
12433,927,71433,862,,,,7200.0,46,,en,0.0
0,9,19,209,1.0,,1.0,,0,,en,1.0
7682,399,18257,466,,,1.0,28800.0,7,1.0,en-gb,0.0
2193,1048,8991,772,,,1.0,,4,1.0,en,0.0
8843,129,18838,670,,,1.0,-18000.0,3,,en,0.0
7478,199,13861,134,,,1.0,-25200.0,1,,en,0.0
0,4,25,216,1.0,,1.0,,0,,en,1.0
0,17,23,295,1.0,,1.0,,0,,en,1.0
0,18,47,515,1.0,,1.0,,0,,en,1.0
0,7,14,188,1.0,,1.0,,0,,en,1.0
0,17,35,525,,,1.0,-14400.0,0,1.0,es,1.0
255,220,3719,198,1.0,,1.0,,0,,en,0.0
